0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
15.0,17.0,4.0,19.0,18.0,13.0,4.0,52.0,17.0,19.0,2.0,25.0,221.0,31.0,8.0,339.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,6.0,3.0,5.0,2.0,3.0,2.0,22.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,8.0,9.0,1.0,4.0,5.0,9.0,5.0,11.0,9.0,5.0,2.0,2.0,5.0,5.0,4.0,2.0,3.0,6.0,4.0,4.0,6.0,4.0,0.0,2.0,6.0,6.0,0.0,4.0,3.0,2.0,1.0,0.0,1.0,13.0,0.0,3.0,19.0
18.0,17.0,3.0,19.0,18.0,13.0,3.0,52.0,19.0,16.0,3.0,27.0,214.0,29.0,8.0,338.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,4.0,2.0,7.0,5.0,2.0,1.0,4.0,5.0,2.0,7.0,5.0,6.0,5.0,4.0,5.0,3.0,21.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,5.0,8.0,3.0,5.0,5.0,9.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,1.0,6.0,5.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0,13.0,1.0,1.0,18.0
16.0,16.0,3.0,19.0,21.0,18.0,5.0,46.0,23.0,19.0,1.0,30.0,214.0,36.0,9.0,319.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,7.0,3.0,6.0,4.0,4.0,1.0,18.0,1.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,7.0,3.0,4.0,6.0,10.0,6.0,8.0,8.0,3.0,6.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,6.0,3.0,1.0,2.0,4.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,13.0,2.0,2.0,16.0
14.0,18.0,3.0,20.0,15.0,11.0,2.0,55.0,12.0,15.0,4.0,25.0,220.0,24.0,8.0,355.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,8.0,6.0,4.0,3.0,2.0,3.0,6.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,6.0,2.0,23.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,6.0,8.0,1.0,6.0,6.0,9.0,5.0,9.0,13.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,6.0,7.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,11.0,2.0,1.0,21.0
15.0,15.0,4.0,19.0,18.0,14.0,3.0,51.0,19.0,17.0,1.0,26.0,218.0,30.0,9.0,333.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,4.0,3.0,3.0,0.0,2.0,7.0,2.0,3.0,7.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,1.0,4.0,2.0,23.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,5.0,10.0,1.0,4.0,5.0,8.0,4.0,8.0,9.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,8.0,3.0,4.0,5.0,0.0,3.0,1.0,2.0,12.0,3.0,1.0,18.0
21.0,13.0,1.0,20.0,31.0,15.0,6.0,54.0,33.0,20.0,2.0,40.0,195.0,45.0,10.0,296.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,6.0,5.0,3.0,6.0,3.0,3.0,4.0,6.0,4.0,2.0,3.0,5.0,4.0,10.0,5.0,4.0,8.0,3.0,4.0,2.0,15.0,2.0,2.0,4.0,1.0,5.0,2.0,3.0,6.0,6.0,1.0,5.0,4.0,9.0,5.0,8.0,7.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,3.0,7.0,2.0,3.0,2.0,0.0,1.0,4.0,5.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,10.0,1.0,1.0,14.0
17.0,15.0,4.0,20.0,21.0,13.0,2.0,61.0,22.0,14.0,4.0,32.0,202.0,34.0,10.0,333.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,8.0,3.0,4.0,4.0,3.0,4.0,8.0,2.0,1.0,2.0,4.0,2.0,7.0,5.0,2.0,5.0,2.0,4.0,1.0,20.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,8.0,2.0,5.0,2.0,10.0,5.0,8.0,9.0,4.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,0.0,4.0,7.0,2.0,6.0,2.0,0.0,1.0,3.0,2.0,8.0,2.0,1.0,20.0
14.0,15.0,2.0,21.0,16.0,13.0,3.0,53.0,16.0,15.0,2.0,26.0,216.0,32.0,8.0,345.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,7.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,1.0,23.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,5.0,9.0,4.0,5.0,5.0,9.0,6.0,8.0,12.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,0.0,0.0,5.0,6.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,11.0,2.0,2.0,19.0
17.0,17.0,2.0,17.0,23.0,15.0,3.0,47.0,24.0,20.0,2.0,31.0,212.0,36.0,11.0,316.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,7.0,2.0,4.0,2.0,20.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,7.0,9.0,2.0,4.0,4.0,8.0,4.0,10.0,8.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,6.0,6.0,7.0,4.0,0.0,1.0,6.0,4.0,1.0,4.0,5.0,0.0,1.0,2.0,2.0,11.0,4.0,3.0,14.0
19.0,13.0,2.0,19.0,29.0,15.0,4.0,54.0,34.0,17.0,2.0,41.0,194.0,46.0,11.0,295.0,1.0,4.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,6.0,5.0,2.0,5.0,5.0,3.0,5.0,7.0,6.0,4.0,4.0,5.0,4.0,7.0,4.0,4.0,8.0,3.0,3.0,3.0,16.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,7.0,6.0,4.0,4.0,4.0,8.0,3.0,10.0,8.0,2.0,3.0,5.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,0.0,2.0,3.0,8.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,8.0,1.0,1.0,13.0
